# #で始まる行はスキップされます
# 年,月,節入日,節入時(0-24),節入分(0-59)

1949,7,7,20,32
1949,8,8,6,16
1949,9,8,8,55
1949,10,9,0,12
1949,11,8,3,1
1949,12,7,19,34
1950,1,6,6,39
1950,2,4,18,21
1950,3,6,12,36
1950,4,5,17,45
1950,5,6,11,25
1950,6,6,15,51
1950,7,8,2,14
1950,8,8,11,56
1950,9,8,14,34
1950,10,9,5,52
1950,11,8,8,44
1950,12,8,1,22
1951,1,6,12,31
1951,2,5,0,14
1951,3,6,18,27
1951,4,5,23,33
1951,5,6,17,10
1951,6,6,21,33
1951,7,8,7,54
1951,8,8,17,38
1951,9,8,20,19
1951,10,9,11,37
1951,11,8,14,27
1951,12,8,7,3
1952,1,6,18,10
1952,2,5,5,54
1952,3,6,0,8
1952,4,5,5,16
1952,5,5,22,54
1952,6,6,3,21
1952,7,7,13,45
1952,8,7,23,32
1952,9,8,2,14
1952,10,8,17,33
1952,11,7,20,22
1952,12,7,12,56
1953,1,6,0,3
1953,2,4,11,47
1953,3,6,6,3
1953,4,5,11,13
1953,5,6,4,53
1953,6,6,9,17
1953,7,7,19,35
1953,8,8,5,15
1953,9,8,7,54
1953,10,8,23,11
1953,11,8,2,2
1953,12,7,18,38
1954,1,6,5,46
1954,2,4,17,31
1954,3,6,11,49
1954,4,5,17,0
1954,5,6,10,39
1954,6,6,15,1
1954,7,8,1,20
1954,8,8,11,0
1954,9,8,13,38
1954,10,9,4,58
1954,11,8,7,51
1954,12,8,0,29
1955,1,6,11,37
1955,2,4,23,18
1955,3,6,17,32
1955,4,5,22,39
1955,5,6,16,18
1955,6,6,20,44
1955,7,8,7,6
1955,8,8,16,51
1955,9,8,19,32
1955,10,9,10,53
1955,11,8,13,46
1955,12,8,6,24
1956,1,6,17,31
1956,2,5,5,13
1956,3,5,23,25
1956,4,5,4,32
1956,5,5,22,10
1956,6,6,2,36
1956,7,7,12,59
1956,8,7,22,41
1956,9,8,1,20
1956,10,8,16,37
1956,11,7,19,27
1956,12,7,12,3
1957,1,5,23,11
1957,2,4,10,55
1957,3,6,5,11
1957,4,5,10,19
1957,5,6,3,59
1957,6,6,8,25
1957,7,7,18,49
1957,8,8,4,33
1957,9,8,7,13
1957,10,8,22,31
1957,11,8,1,21
1957,12,7,17,57
1958,1,6,5,5
1958,2,4,16,50
1958,3,6,11,6
1958,4,5,16,13
1958,5,6,9,50
1958,6,6,14,13
1958,7,8,0,34
1958,8,8,10,18
1958,9,8,13,0
1958,10,9,4,20
1958,11,8,7,13
1958,12,7,23,50
1959,1,6,10,59
1959,2,4,22,43
1959,3,6,16,57
1959,4,5,22,4
1959,5,6,15,39
1959,6,6,20,1
1959,7,8,6,20
1959,8,8,16,5
1959,9,8,18,49
1959,10,9,10,11
1959,11,8,13,3
1959,12,8,5,38
1960,1,6,16,43
1960,2,5,4,23
1960,3,5,22,36
1960,4,5,3,44
1960,5,5,21,23
1960,6,6,1,48
1960,7,7,12,13
1960,8,7,22,0
1960,9,8,0,46
1960,10,8,16,9
1960,11,7,19,2
1960,12,7,11,38
1961,1,5,22,43
1961,2,4,10,23
1961,3,6,4,35
1961,4,5,9,42
1961,5,6,3,21
1961,6,6,7,46
1961,7,7,18,7
1961,8,8,3,48
1961,9,8,6,29
1961,10,8,21,51
